Country/Region,Province/State,ISO3166:2,ISO3166:3,ISO3166:#,Name,Population,GDP (Total),Life Expectancy (Male),Life Expectancy (Female),Date,Confirmed (Total),Deaths (Total),Recovered (Total),Active (Total),"Confirmed (Total, normalised)","Deaths (Total, normalised)","Recovered (Total, normalised)","Confirmed (Total, log)","Deaths (Total, log)","Recovered (Total, log)",Confirmed (Daily),Deaths (Daily),Recovered (Daily),Net Cases (Daily),"Confirmed (Daily, log)","Deaths (Daily, log)","Recovered (Daily, log)","Confirmed (Daily, log growth)","Deaths (Daily, log growth)","Recovered (Daily, log growth)"
Afghanistan,All,AF,AFG,004,Afghanistan,37172386.0,19362969582.3643,63.047,66.026,2020-01-22,0.0,0.0,0.0,,0.0,0.0,0.0,-inf,-inf,-inf,,,,,,,,,,
Afghanistan,All,AF,AFG,004,Afghanistan,37172386.0,19362969582.3643,63.047,66.026,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf,0.0,0.0,0.0,0.0,,,,,,
Afghanistan,All,AF,AFG,004,Afghanistan,37172386.0,19362969582.3643,63.047,66.026,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf,0.0,0.0,0.0,0.0,,,,,,
Afghanistan,All,AF,AFG,004,Afghanistan,37172386.0,19362969582.3643,63.047,66.026,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf,0.0,0.0,0.0,0.0,,,,,,
Afghanistan,All,AF,AFG,004,Afghanistan,37172386.0,19362969582.3643,63.047,66.026,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf,0.0,0.0,0.0,0.0,,,,,,
Afghanistan,All,AF,AFG,004,Afghanistan,37172386.0,19362969582.3643,63.047,66.026,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf,0.0,0.0,0.0,0.0,,,,,,
Afghanistan,All,AF,AFG,004,Afghanistan,37172386.0,19362969582.3643,63.047,66.026,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf,0.0,0.0,0.0,0.0,,,,,,
Afghanistan,All,AF,AFG,004,Afghanistan,37172386.0,19362969582.3643,63.047,66.026,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf,0.0,0.0,0.0,0.0,,,,,,
Afghanistan,All,AF,AFG,004,Afghanistan,37172386.0,19362969582.3643,63.047,66.026,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf,0.0,0.0,0.0,0.0,,,,,,
Afghanistan,All,AF,AFG,004,Afghanistan,37172386.0,19362969582.3643,63.047,66.026,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf,0.0,0.0,0.0,0.0,,,,,,
